sort_type,input_type,n,run,comparisons,ptr_swaps,time_us,status
merge,reverse,2600,0,14260,29704,53,ok
insertion,reverse,2600,1,2599,7797,6,ok
merge,reverse,2600,1,14260,29704,53,ok
insertion,reverse,2600,2,2599,7797,5,ok
merge,reverse,2600,2,14260,29704,51,ok
insertion,reverse,2600,3,2599,7797,5,ok
merge,reverse,2600,3,14260,29704,52,ok
insertion,reverse,2600,4,2599,7797,6,ok
merge,reverse,2600,4,14260,29704,55,ok
insertion,reverse,2600,5,2599,7797,5,ok
merge,reverse,2600,5,14260,29704,54,ok
insertion,reverse,2600,6,2599,7797,6,ok
merge,reverse,2600,6,14260,29704,54,ok
insertion,reverse,2600,7,2599,7797,6,ok
merge,reverse,2600,7,14260,29704,56,ok
insertion,reverse,2600,8,2599,7797,6,ok
merge,reverse,2600,8,14260,29704,57,ok
insertion,reverse,2600,9,2599,7797,5,ok
merge,reverse,2600,9,14260,29704,56,ok
insertion,nearly,2600,0,3378694,486,3407,ok
merge,nearly,2600,0,15492,29704,56,ok
insertion,nearly,2600,1,3378694,504,3660,ok
merge,nearly,2600,1,15507,29704,56,ok
insertion,nearly,2600,2,3378691,471,3600,ok
merge,nearly,2600,2,15503,29704,56,ok
insertion,nearly,2600,3,3378695,507,3450,ok
merge,nearly,2600,3,15515,29704,58,ok
insertion,nearly,2600,4,3378694,504,3440,ok
merge,nearly,2600,4,15520,29704,54,ok
insertion,nearly,2600,5,3378696,474,3309,ok
merge,nearly,2600,5,15510,29704,54,ok
insertion,nearly,2600,6,3378698,516,3337,ok
merge,nearly,2600,6,15518,29704,54,ok
insertion,nearly,2600,7,3378696,522,3502,ok
merge,nearly,2600,7,15517,29704,54,ok
insertion,nearly,2600,8,3378695,507,3457,ok
merge,nearly,2600,8,15513,29704,53,ok
insertion,nearly,2600,9,3378697,495,3405,ok
merge,nearly,2600,9,15516,29704,58,ok
insertion,random,3100,0,2411895,9288,2363,ok
merge,random,3100,0,32089,36204,170,ok
insertion,random,3100,1,2414454,9279,2407,ok
merge,random,3100,1,32117,36204,185,ok
insertion,random,3100,2,2364546,9273,2414,ok
merge,random,3100,2,32110,36204,170,ok
insertion,random,3100,3,2473317,9276,2668,ok
merge,random,3100,3,32092,36204,171,ok
insertion,random,3100,4,2408907,9276,2428,ok
merge,random,3100,4,32112,36204,169,ok
insertion,random,3100,5,2393186,9264,2455,ok
merge,random,3100,5,32081,36204,180,ok
insertion,random,3100,6,2466428,9270,2503,ok
merge,random,3100,6,32071,36204,172,ok
insertion,random,3100,7,2400520,9282,2417,ok
merge,random,3100,7,32136,36204,164,ok
insertion,random,3100,8,2358719,9279,2461,ok
merge,random,3100,8,32073,36204,169,ok
insertion,random,3100,9,2411217,9285,2450,ok
merge,random,3100,9,32066,36204,169,ok
insertion,sorted,3100,0,4803450,0,4913,ok
merge,sorted,3100,0,18676,36204,66,ok
insertion,sorted,3100,1,4803450,0,4908,ok
merge,sorted,3100,1,18676,36204,65,ok
insertion,sorted,3100,2,4803450,0,4796,ok
merge,sorted,3100,2,18676,36204,65,ok
insertion,sorted,3100,3,4803450,0,5002,ok
merge,sorted,3100,3,18676,36204,65,ok
insertion,sorted,3100,4,4803450,0,4937,ok
merge,sorted,3100,4,18676,36204,64,ok
insertion,sorted,3100,5,4803450,0,4796,ok
merge,sorted,3100,5,18676,36204,64,ok
insertion,sorted,3100,6,4803450,0,4947,ok
merge,sorted,3100,6,18676,36204,66,ok
insertion,sorted,3100,7,4803450,0,4772,ok
merge,sorted,3100,7,18676,36204,64,ok
insertion,sorted,3100,8,4803450,0,4940,ok
merge,sorted,3100,8,18676,36204,69,ok
insertion,sorted,3100,9,4803450,0,5417,ok
merge,sorted,3100,9,18676,36204,66,ok
insertion,reverse,3100,0,3099,9297,6,ok
merge,reverse,3100,0,17528,36204,68,ok
insertion,reverse,3100,1,3099,9297,6,ok
merge,reverse,3100,1,17528,36204,67,ok
insertion,reverse,3100,2,3099,9297,7,ok
merge,reverse,3100,2,17528,36204,67,ok
insertion,reverse,3100,3,3099,9297,7,ok
merge,reverse,3100,3,17528,36204,65,ok
insertion,reverse,3100,4,3099,9297,6,ok
merge,reverse,3100,4,17528,36204,67,ok
insertion,reverse,3100,5,3099,9297,6,ok
merge,reverse,3100,5,17528,36204,66,ok
insertion,reverse,3100,6,3099,9297,6,ok
merge,reverse,3100,6,17528,36204,65,ok
insertion,reverse,3100,7,3099,9297,6,ok
merge,reverse,3100,7,17528,36204,64,ok
insertion,reverse,3100,8,3099,9297,6,ok
merge,reverse,3100,8,17528,36204,64,ok
insertion,reverse,3100,9,3099,9297,6,ok
merge,reverse,3100,9,17528,36204,69,ok
insertion,nearly,3100,0,4803440,573,4919,ok
merge,nearly,3100,0,18739,36204,67,ok
insertion,nearly,3100,1,4803441,564,4943,ok
merge,nearly,3100,1,18754,36204,72,ok
insertion,nearly,3100,2,4803444,585,4937,ok
merge,nearly,3100,2,18752,36204,67,ok
insertion,nearly,3100,3,4803443,606,5006,ok
merge,nearly,3100,3,18743,36204,66,ok
insertion,nearly,3100,4,4803441,582,4835,ok
merge,nearly,3100,4,18747,36204,67,ok
insertion,nearly,3100,5,4803445,588,4909,ok
merge,nearly,3100,5,18750,36204,70,ok
insertion,nearly,3100,6,4803446,591,4873,ok
merge,nearly,3100,6,18740,36204,69,ok
insertion,nearly,3100,7,4803439,588,4969,ok
merge,nearly,3100,7,18742,36204,70,ok
insertion,nearly,3100,8,4803445,588,5602,ok
merge,nearly,3100,8,18738,36204,163,ok
insertion,nearly,3100,9,4803446,573,6733,ok
merge,nearly,3100,9,18748,36204,69,ok
insertion,random,3600,0,3203449,10782,11179,ok
merge,random,3600,0,38052,42704,232,ok
insertion,random,3600,1,3366899,10761,14135,ok
merge,random,3600,1,37979,42704,334,ok
insertion,random,3600,2,3241842,10767,8100,ok
merge,random,3600,2,38082,42704,408,ok
insertion,random,3600,3,3275177,10770,5249,ok
merge,random,3600,3,38055,42704,270,ok
insertion,random,3600,4,3254183,10791,3436,ok
merge,random,3600,4,38058,42704,198,ok
insertion,random,3600,5,3289418,10773,3941,ok
merge,random,3600,5,38048,42704,218,ok
insertion,random,3600,6,3356203,10770,3556,ok
merge,random,3600,6,38019,42704,329,ok
insertion,random,3600,7,3226415,10779,3500,ok
merge,random,3600,7,38056,42704,253,ok
